claim_id,policy_id,insured_id,cause_of_loss,loss_date,report_lag_days,gross_incurred_usd,bi_loss_usd,non_bi_loss_usd,paid_to_date_usd,downtime_hours,systems_affected,claim_status
CLM-70218,POL-2021224,INS-10124,DDoS,2022-08-05,1,297270,183563,113707,295412,100.9,Trading Platform,Open
CLM-70219,POL-2021229,INS-10129,Insider Threat,2023-06-06,0,191814,85640,106174,116811,335.3,Trading Platform,Open
CLM-70220,POL-2021242,INS-10142,Ransomware,2020-10-14,1,1219948,822234,397714,953333,8.8,Email/Productivity,Closed
CLM-70221,POL-2021246,INS-10146,Ransomware,2023-07-21,0,107623,62862,44761,72499,9.0,Multiple Systems,Closed
CLM-70222,POL-2021246,INS-10146,Ransomware,2023-09-08,14,316545,204335,112210,167937,95.3,Customer Portal,Closed
CLM-70223,POL-2021253,INS-10153,DDoS,2021-12-12,0,38123,25611,12512,20000,187.3,Payment Processing,Closed
CLM-70224,POL-2021254,INS-10154,Business Email Compromise,2025-09-01,3,335523,0,335523,144218,0.0,,Closed
CLM-70225,POL-2021254,INS-10154,Business Email Compromise,2025-03-23,4,125474,0,125474,122296,0.0,,Open
CLM-70226,POL-2021257,INS-10157,Ransomware,2025-02-01,5,529742,271531,258211,351385,20.7,Payment Processing,Closed
CLM-70227,POL-2021264,INS-10164,DDoS,2021-07-22,9,35788,20365,15423,30419,57.0,Customer Portal,Closed
CLM-70228,POL-2021271,INS-10171,Ransomware,2024-01-14,0,286172,197524,88648,222678,85.0,Payment Processing,Closed
CLM-70229,POL-2021281,INS-10181,Business Email Compromise,2025-01-31,9,23670,0,23670,13901,0.0,,Open
CLM-70230,POL-2021290,INS-10190,Third-Party Breach,2023-10-06,0,1244902,481017,763885,951935,17.2,Email/Productivity,Closed
CLM-70231,POL-2021300,INS-10200,Business Email Compromise,2024-01-21,20,28930,1957,26973,22138,41.2,Trading Platform,Closed
CLM-70232,POL-2021311,INS-10211,Ransomware,2021-12-15,5,210476,101464,109012,159050,134.4,Customer Portal,Open
CLM-70233,POL-2021315,INS-10215,Data Breach,2025-08-29,8,169520,20342,149178,72135,51.4,Customer Portal,Closed
CLM-70234,POL-2021322,INS-10222,Data Breach,2023-02-05,2,163960,46000,117960,163715,110.5,Trading Platform,Closed
CLM-70235,POL-2021323,INS-10223,Ransomware,2024-01-18,15,503848,214665,289183,440253,56.9,Customer Portal,Closed
CLM-70236,POL-2021324,INS-10224,Business Email Compromise,2025-06-24,4,5713472,91041,5622431,4463636,1946.1,Trading Platform,Closed
CLM-70237,POL-2021325,INS-10225,Ransomware,2020-11-29,4,9537,5645,3892,4281,123.9,Customer Portal,Closed
CLM-70238,POL-2021327,INS-10227,Wire Fraud,2021-08-28,5,715060,103410,611650,589590,161.7,Multiple Systems,Open
CLM-70239,POL-2021330,INS-10230,Ransomware,2022-04-04,21,783616,326299,457317,686073,1054.1,Email/Productivity,Closed
CLM-70240,POL-2021332,INS-10232,Ransomware,2024-03-31,5,19556986,8449029,11107957,8687148,44.6,Payment Processing,Open
CLM-70241,POL-2021335,INS-10235,Ransomware,2023-09-04,6,942062,538834,403228,472339,62.5,Core Banking,Closed
CLM-70242,POL-2021337,INS-10237,Business Email Compromise,2021-07-02,4,122846,19451,103395,61220,135.2,Multiple Systems,Open
CLM-70243,POL-2021347,INS-10247,Third-Party Breach,2025-02-14,4,365451,143876,221575,248865,77.6,Email/Productivity,Open
CLM-70244,POL-2021357,INS-10257,Data Breach,2024-09-18,21,6434746,163410,6271336,2986762,403.2,Core Banking,Closed
CLM-70245,POL-2021364,INS-10264,Ransomware,2024-11-10,0,151126,92917,58209,104006,53.9,Customer Portal,Closed
CLM-70246,POL-2021367,INS-10267,Ransomware,2023-10-03,0,158274,80761,77513,118801,39.8,Trading Platform,Closed
CLM-70247,POL-2021387,INS-10287,Business Email Compromise,2024-11-23,5,31244,0,31244,26498,0.0,,Closed
CLM-70248,POL-2021404,INS-10304,Third-Party Breach,2021-01-27,2,253625,55284,198341,131257,22.5,Trading Platform,Closed
CLM-70249,POL-2021406,INS-10306,DDoS,2021-06-21,7,99486,74653,24833,77794,61.0,Email/Productivity,Closed
CLM-70250,POL-2021413,INS-10313,Business Email Compromise,2022-11-22,0,11501,1179,10322,10115,20.6,Trading Platform,Closed
CLM-70251,POL-2021416,INS-10316,Third-Party Breach,2023-04-09,13,2670901,734888,1936013,2237127,264.8,Customer Portal,Open
CLM-70252,POL-2021425,INS-10325,Data Breach,2024-01-15,8,37931193,510255,37420938,28337194,139.0,Trading Platform,Closed
CLM-70253,POL-2021430,INS-10330,Data Breach,2020-04-11,7,1025299,163218,862081,987424,230.7,Core Banking,Closed
CLM-70254,POL-2021431,INS-10331,Ransomware,2024-07-08,2,1445786,884369,561417,583249,37.7,Core Banking,Closed
CLM-70255,POL-2021431,INS-10331,Business Email Compromise,2024-01-17,4,230939,0,230939,112680,0.0,,Closed
CLM-70256,POL-2021432,INS-10332,Other,2021-07-09,11,145688,43083,102605,140920,75.8,Customer Portal,Open
CLM-70257,POL-2021433,INS-10333,Ransomware,2022-04-26,11,1863239,912581,950658,1342227,34.5,Trading Platform,Closed
CLM-70258,POL-2021433,INS-10333,Ransomware,2022-01-12,5,126739,70012,56727,122413,257.0,Email/Productivity,Closed
CLM-70259,POL-2021435,INS-10335,Other,2022-12-24,1,508075,117684,390391,260997,206.9,Trading Platform,Closed
CLM-70260,POL-2021436,INS-10336,Wire Fraud,2020-07-24,1,489403,41239,448164,351937,19.2,Core Banking,Open
CLM-70261,POL-2021478,INS-10378,Third-Party Breach,2023-12-19,11,201809,84180,117629,141885,261.7,Multiple Systems,Closed
CLM-70262,POL-2021480,INS-10380,Insider Threat,2023-05-29,19,40348,16456,23892,21467,18.4,Customer Portal,Closed
CLM-70263,POL-2021481,INS-10381,Data Breach,2024-03-09,0,941589,2002,939587,459957,143.6,Customer Portal,Open
CLM-70264,POL-2021485,INS-10385,Ransomware,2021-03-17,7,94206,62912,31294,86542,207.4,Payment Processing,Closed
CLM-70265,POL-2021486,INS-10386,Data Breach,2023-01-15,7,604593,66384,538209,352719,314.6,Email/Productivity,Closed
CLM-70266,POL-2021493,INS-10393,Business Email Compromise,2025-03-14,17,131973,18953,113020,127779,347.8,Payment Processing,Open
CLM-70267,POL-2021498,INS-10398,Data Breach,2022-10-30,0,739648,146632,593016,406746,360.7,Core Banking,Open
